2023-04-05 08:29:06,160 [   DEBUG] asyncio: Using selector: EpollSelector
2023-04-05 08:29:07,134 [    INFO] player: Using libmpv1 playback backend.
2023-04-05 08:29:07,291 [   DEBUG] JELLYFIN.jellyfin_apiclient_python.client: JellyfinClient initializing...
2023-04-05 08:29:07,291 [   DEBUG] JELLYFIN.jellyfin_apiclient_python.configuration: Configuration initializing...
2023-04-05 08:29:07,292 [   DEBUG] JELLYFIN.jellyfin_apiclient_python.configuration: Begin http constructor.
2023-04-05 08:29:07,292 [   DEBUG] JELLYFIN.jellyfin_apiclient_python.ws_client: WSClient initializing...
2023-04-05 08:29:07,292 [   DEBUG] JELLYFIN.jellyfin_apiclient_python.connection_manager: ConnectionManager initializing...
2023-04-05 08:29:07,292 [   DEBUG] JELLYFIN.jellyfin_apiclient_python.credentials: Credentials initializing...
2023-04-05 08:29:07,293 [   DEBUG] JELLYFIN.jellyfin_apiclient_python.configuration: Begin app constructor.
2023-04-05 08:29:07,293 [    INFO] JELLYFIN.jellyfin_apiclient_python.connection_manager: Begin connect
2023-04-05 08:29:07,294 [    INFO] JELLYFIN.jellyfin_apiclient_python.connection_manager: Begin getAvailableServers
2023-04-05 08:29:07,294 [   DEBUG] JELLYFIN.jellyfin_apiclient_python.credentials: credentialsupdated
2023-04-05 08:29:07,295 [    INFO] JELLYFIN.jellyfin_apiclient_python.connection_manager: connect has 1 servers
2023-04-05 08:29:07,295 [    INFO] JELLYFIN.jellyfin_apiclient_python.connection_manager: begin connect_to_server
2023-04-05 08:29:07,295 [    INFO] JELLYFIN.jellyfin_apiclient_python.api: Sending get request to system/info/public
2023-04-05 08:29:07,295 [   DEBUG] JELLYFIN.jellyfin_apiclient_python.api: 5
2023-04-05 08:29:07,295 [   DEBUG] JELLYFIN.jellyfin_apiclient_python.api: {'Accept': 'application/json', 'Content-type': 'application/x-www-form-urlencoded; charset=UTF-8', 'X-Application': 'Jellyfin MPV Shim/2.6.0', 'Accept-Charset': 'UTF-8,*', 'Accept-encoding': 'gzip', 'User-Agent': 'Jellyfin-MPV-Shim/2.6.0', 'x-emby-authorization': 'MediaBrowser Client=Jellyfin MPV Shim, Device=gunners, DeviceId=20cbca8e-24e2-45f9-9803-9d840e57f430, Version=2.6.0'}
2023-04-05 08:29:07,299 [   DEBUG] urllib3.connectionpool: Starting new HTTP connection (1): 192.168.1.81:8096
2023-04-05 08:29:07,737 [   DEBUG] PIL.PngImagePlugin: STREAM "b'IHDR'" 16 13
2023-04-05 08:29:07,738 [   DEBUG] PIL.PngImagePlugin: STREAM "b'pHYs'" 41 9
2023-04-05 08:29:07,738 [   DEBUG] PIL.PngImagePlugin: STREAM "b'IDAT'" 62 709
2023-04-05 08:29:08,070 [   DEBUG] urllib3.connectionpool: http://192.168.1.81:8096 "GET /system/info/public HTTP/1.1" 200 None
2023-04-05 08:29:08,074 [    INFO] JELLYFIN.jellyfin_apiclient_python.connection_manager: calling onSuccessfulConnection with server gunners
2023-04-05 08:29:08,075 [    INFO] JELLYFIN.jellyfin_apiclient_python.api: Sending get request to system/info
2023-04-05 08:29:08,075 [   DEBUG] JELLYFIN.jellyfin_apiclient_python.api: 5
